date,open,high,low,close,adj close,volume,month
2018-12-28,"2,498.77","2,520.27","2,472.89","2,485.74","2,485.74","3,702,620,000",December
2018-12-27,"2,442.50","2,489.10","2,397.94","2,488.83","2,488.83","4,096,610,000",December
2018-12-26,"2,363.12","2,467.76","2,346.58","2,467.70","2,467.70","4,233,990,000",December
2018-12-24,"2,400.56","2,410.34","2,351.10","2,351.10","2,351.10","2,613,930,000",December
2018-12-21,"2,465.38","2,504.41","2,408.55","2,416.62","2,416.62","7,609,010,000",December
2018-12-20,"2,496.77","2,509.63","2,441.18","2,467.42","2,467.42","5,585,780,000",December
2018-12-19,"2,547.05","2,585.29","2,488.96","2,506.96","2,506.96","5,127,940,000",December
2018-12-18,"2,559.90","2,573.99","2,528.71","2,546.16","2,546.16","4,470,880,000",December
2018-12-17,"2,590.75","2,601.13","2,530.54","2,545.94","2,545.94","4,616,350,000",December
2018-12-14,"2,629.68","2,635.07","2,593.84","2,599.95","2,599.95","4,035,020,000",December
2018-12-13,"2,658.70","2,670.19","2,637.27","2,650.54","2,650.54","3,927,720,000",December
2018-12-12,"2,658.23","2,685.44","2,650.26","2,651.07","2,651.07","3,958,890,000",December
2018-12-11,"2,664.44","2,674.35","2,621.30","2,636.78","2,636.78","3,905,870,000",December
2018-12-10,"2,630.86","2,647.51","2,583.23","2,637.72","2,637.72","4,151,030,000",December
2018-12-07,"2,691.26","2,708.54","2,623.14","2,633.08","2,633.08","4,216,690,000",December
2018-12-06,"2,663.51","2,696.15","2,621.53","2,695.95","2,695.95","5,141,470,000",December
2018-12-04,"2,782.43","2,785.93","2,697.18","2,700.06","2,700.06","4,499,840,000",December
2018-12-03,"2,790.50","2,800.18","2,773.38","2,790.37","2,790.37","4,186,060,000",December
2018-11-30,"2,737.76","2,760.88","2,732.76","2,760.17","2,760.17","4,658,580,000",November
2018-11-29,"2,736.97","2,753.75","2,722.94","2,737.80","2,737.80","3,560,770,000",November
2018-11-28,"2,691.45","2,744.00","2,684.38","2,743.79","2,743.79","3,951,670,000",November
2018-11-27,"2,663.75","2,682.53","2,655.89","2,682.17","2,682.17","3,485,220,000",November
2018-11-26,"2,649.97","2,674.35","2,649.97","2,673.45","2,673.45","3,443,950,000",November
