Date,Open,High,Low,Close,Adj Close**,Volume
28-Dec-18,"2,498.77","2,520.27","2,472.89","2,485.74","2,485.74","3,702,620,000"
27-Dec-18,"2,442.50","2,489.10","2,397.94","2,488.83","2,488.83","4,096,610,000"
26-Dec-18,"2,363.12","2,467.76","2,346.58","2,467.70","2,467.70","4,233,990,000"
24-Dec-18,"2,400.56","2,410.34","2,351.10","2,351.10","2,351.10","2,613,930,000"
21-Dec-18,"2,465.38","2,504.41","2,408.55","2,416.62","2,416.62","7,609,010,000"
20-Dec-18,"2,496.77","2,509.63","2,441.18","2,467.42","2,467.42","5,585,780,000"
19-Dec-18,"2,547.05","2,585.29","2,488.96","2,506.96","2,506.96","5,127,940,000"
18-Dec-18,"2,559.90","2,573.99","2,528.71","2,546.16","2,546.16","4,470,880,000"
17-Dec-18,"2,590.75","2,601.13","2,530.54","2,545.94","2,545.94","4,616,350,000"
14-Dec-18,"2,629.68","2,635.07","2,593.84","2,599.95","2,599.95","4,035,020,000"
13-Dec-18,"2,658.70","2,670.19","2,637.27","2,650.54","2,650.54","3,927,720,000"
12-Dec-18,"2,658.23","2,685.44","2,650.26","2,651.07","2,651.07","3,958,890,000"
11-Dec-18,"2,664.44","2,674.35","2,621.30","2,636.78","2,636.78","3,905,870,000"
10-Dec-18,"2,630.86","2,647.51","2,583.23","2,637.72","2,637.72","4,151,030,000"
7-Dec-18,"2,691.26","2,708.54","2,623.14","2,633.08","2,633.08","4,216,690,000"
6-Dec-18,"2,663.51","2,696.15","2,621.53","2,695.95","2,695.95","5,141,470,000"
4-Dec-18,"2,782.43","2,785.93","2,697.18","2,700.06","2,700.06","4,499,840,000"
3-Dec-18,"2,790.50","2,800.18","2,773.38","2,790.37","2,790.37","4,186,060,000"
30-Nov-18,"2,737.76","2,760.88","2,732.76","2,760.17","2,760.17","4,658,580,000"
29-Nov-18,"2,736.97","2,753.75","2,722.94","2,737.80","2,737.80","3,560,770,000"
28-Nov-18,"2,691.45","2,744.00","2,684.38","2,743.79","2,743.79","3,951,670,000"
27-Nov-18,"2,663.75","2,682.53","2,655.89","2,682.17","2,682.17","3,485,220,000"
26-Nov-18,"2,649.97","2,674.35","2,649.97","2,673.45","2,673.45","3,443,950,000"
23-Nov-18,"2,633.36","2,647.55","2,631.09","2,632.56","2,632.56","1,651,650,000"
21-Nov-18,"2,657.74","2,670.73","2,649.82","2,649.93","2,649.93","3,233,550,000"
20-Nov-18,"2,654.60","2,669.44","2,631.52","2,641.89","2,641.89","4,357,900,000"
19-Nov-18,"2,730.74","2,733.16","2,681.09","2,690.73","2,690.73","3,772,900,000"
16-Nov-18,"2,718.54","2,746.75","2,712.16","2,736.27","2,736.27","3,975,180,000"
15-Nov-18,"2,693.52","2,735.38","2,670.75","2,730.20","2,730.20","4,179,140,000"
14-Nov-18,"2,737.90","2,746.80","2,685.75","2,701.58","2,701.58","4,402,370,000"
13-Nov-18,"2,730.05","2,754.60","2,714.98","2,722.18","2,722.18","4,091,440,000"
12-Nov-18,"2,773.93","2,775.99","2,722.00","2,726.22","2,726.22","3,670,930,000"
9-Nov-18,"2,794.10","2,794.10","2,764.24","2,781.01","2,781.01","4,019,090,000"
8-Nov-18,"2,806.38","2,814.75","2,794.99","2,806.83","2,806.83","3,630,490,000"
7-Nov-18,"2,774.13","2,815.15","2,774.13","2,813.89","2,813.89","3,914,750,000"
6-Nov-18,"2,738.40","2,756.82","2,737.08","2,755.45","2,755.45","3,510,860,000"
5-Nov-18,"2,726.37","2,744.27","2,717.94","2,738.31","2,738.31","3,623,320,000"
2-Nov-18,"2,745.45","2,756.55","2,700.44","2,723.06","2,723.06","4,237,930,000"
1-Nov-18,"2,717.58","2,741.67","2,708.85","2,740.37","2,740.37","4,708,420,000"
31-Oct-18,"2,705.60","2,736.69","2,705.60","2,711.74","2,711.74","5,112,420,000"
30-Oct-18,"2,640.68","2,685.43","2,635.34","2,682.63","2,682.63","5,106,380,000"
29-Oct-18,"2,682.65","2,706.85","2,603.54","2,641.25","2,641.25","4,673,700,000"
26-Oct-18,"2,667.86","2,692.38","2,628.16","2,658.69","2,658.69","4,803,150,000"
25-Oct-18,"2,674.88","2,722.70","2,667.84","2,705.57","2,705.57","4,634,770,000"
24-Oct-18,"2,737.87","2,742.59","2,651.89","2,656.10","2,656.10","4,709,310,000"
23-Oct-18,"2,721.03","2,753.59","2,691.43","2,740.69","2,740.69","4,348,580,000"
22-Oct-18,"2,773.94","2,778.94","2,749.22","2,755.88","2,755.88","3,307,140,000"
19-Oct-18,"2,775.66","2,797.77","2,760.27","2,767.78","2,767.78","3,566,490,000"
18-Oct-18,"2,802.00","2,806.04","2,755.18","2,768.78","2,768.78","3,616,440,000"
17-Oct-18,"2,811.67","2,816.94","2,781.81","2,809.21","2,809.21","3,321,710,000"
16-Oct-18,"2,767.05","2,813.46","2,766.91","2,809.92","2,809.92","3,428,340,000"
15-Oct-18,"2,763.83","2,775.99","2,749.03","2,750.79","2,750.79","3,300,140,000"
12-Oct-18,"2,770.54","2,775.77","2,729.44","2,767.13","2,767.13","3,966,040,000"
11-Oct-18,"2,776.87","2,795.14","2,710.51","2,728.37","2,728.37","4,890,630,000"
10-Oct-18,"2,873.90","2,874.02","2,784.86","2,785.68","2,785.68","4,501,250,000"
9-Oct-18,"2,882.51","2,894.83","2,874.27","2,880.34","2,880.34","3,520,500,000"
8-Oct-18,"2,877.53","2,889.45","2,862.08","2,884.43","2,884.43","3,330,320,000"
5-Oct-18,"2,902.54","2,909.64","2,869.29","2,885.57","2,885.57","3,328,980,000"
4-Oct-18,"2,919.35","2,919.78","2,883.92","2,901.61","2,901.61","3,496,860,000"
3-Oct-18,"2,931.69","2,939.86","2,921.36","2,925.51","2,925.51","3,598,710,000"
2-Oct-18,"2,923.80","2,931.42","2,919.37","2,923.43","2,923.43","3,401,880,000"
1-Oct-18,"2,926.29","2,937.06","2,917.91","2,924.59","2,924.59","3,364,190,000"
28-Sep-18,"2,910.03","2,920.53","2,907.50","2,913.98","2,913.98","3,432,300,000"
27-Sep-18,"2,911.65","2,927.22","2,909.27","2,914.00","2,914.00","3,060,850,000"
26-Sep-18,"2,916.98","2,931.15","2,903.28","2,905.97","2,905.97","3,388,620,000"
25-Sep-18,"2,921.75","2,923.95","2,913.70","2,915.56","2,915.56","3,285,480,000"
24-Sep-18,"2,921.83","2,923.79","2,912.63","2,919.37","2,919.37","3,372,210,000"
21-Sep-18,"2,936.76","2,940.91","2,927.11","2,929.67","2,929.67","5,607,610,000"
20-Sep-18,"2,919.73","2,934.80","2,919.73","2,930.75","2,930.75","3,337,730,000"
19-Sep-18,"2,906.60","2,912.36","2,903.82","2,907.95","2,907.95","3,280,020,000"
18-Sep-18,"2,890.74","2,911.17","2,890.43","2,904.31","2,904.31","3,074,610,000"
17-Sep-18,"2,903.83","2,904.65","2,886.16","2,888.80","2,888.80","2,947,760,000"
14-Sep-18,"2,906.38","2,908.30","2,895.77","2,904.98","2,904.98","3,149,800,000"
13-Sep-18,"2,896.85","2,906.76","2,896.39","2,904.18","2,904.18","3,254,930,000"
12-Sep-18,"2,888.29","2,894.65","2,879.20","2,888.92","2,888.92","3,264,930,000"
11-Sep-18,"2,871.57","2,892.52","2,866.78","2,887.89","2,887.89","2,899,660,000"
10-Sep-18,"2,881.39","2,886.93","2,875.94","2,877.13","2,877.13","2,731,400,000"
